title,component,description,root_cause,inherent_likelihood,inherent_impact,residual_likelihood,residual_impact
"The organisation's approach to the risk assessment process is not tailored to the conditions, events, circumstances, actions, or inactions of the company that may negatively impact the achievement of quality objectives, such as structure, organisatio",Risk Assessment Process,"We consider the risk acceptable due to the decision-making process within the company, the segregation of responsibilities, and the monitoring of consequences.","Ref: 1.01. Objectives: 1a. Responses: MRA-01, MRA-02.",1,1,1,1
"The design of the risk assessment process is not adapted to local legislation, registration requirements, and regulations.",Risk Assessment Process,We consider the risk acceptable due to the frequent updating of procedures and their oversight by the compliance officer.,Ref: 1.02. Objectives: 1a. Responses: MRA-03.,1,1,1,1
The nature and circumstances of the company and/or its engagements are not considered when establishing additional quality objectives.,Risk Assessment Process,"There is a possibility that the risk may not be acceptable, especially in areas like tax compliance and M&A, due to the high value of transactions or industry-specific specialisations. Nonetheless, for mandates that are either highly specialised within the industry or substantial in terms of valuati",Ref: 1.03. Objectives: 1a. Responses: MRA-03.,2,2,2,2
The company fails to identify all quality objectives or they are not sufficiently detailed to enhance the company's identification and assessment of quality risks.,Risk Assessment Process,"The objectives are sufficiently detailed, identified for each practice individually, and separately for internal functions such as administration, human resources, and finance and accounting. Therefore, we consider the level of risk to be acceptable.",Ref: 1.04. Objectives: 1a. Responses: MRA-03.,1,1,1,1
"The company does not assess its risks with adequate frequency. The need for additional or more detailed quality objectives may arise at any stage (e.g., during the establishment of quality objectives, identification and assessment of quality risks, o",Risk Assessment Process,"Risk assessment is conducted internally annually, as well as whenever issues are identified that may necessitate risk reassessment, with external methodological support provided once every 9 months. Additionally, there is an audit of the fulfillment of quality objectives.Therefore, we consider this ",Ref: 1.05. Objectives: 1a. Responses: MRA-04.,1,1,1,1
"New information is not adequately taken into consideration, and/or quality objectives are not thoroughly reassessed during the periodic risk assessment.",Risk Assessment Process,"Through the diligence of the Internal Auditor and the Compliance Officer, who furnish CRMC with the necessary information, CRMC prioritises monitoring all new elements and information that can aid in the risk reassessment process, disseminating them within the organisation, and updating procedures a",Ref: 1.06. Objectives: 1a. Responses: MRA-04.,1,1,1,1
"The company does not acquire an adequate understanding of the aspects related to the nature and circumstances of the company and its undertaken engagements, which could serve as a foundation for the company's examination of potential pitfalls, to sup",Risk Assessment Process,"The partners and coordinators of each practice in the company aim to monitor the specifics and circumstances of the conducted inspections. Moreover, there are budgets allocated for development, consultation, and advice, ensuring each assignment is thoroughly evaluated before acceptance and executed ",Ref: 1.07. Objectives: 1b. Responses: MRA-04.,1,1,1,1
"The company fails to conduct a root cause analysis following the assessment of the control environment, leading to a comprehensive identification of risks impacting the achievement of quality objectives, which is necessary to serve as a basis for the",Risk Assessment Process,"Clear procedures exist for extracting and analysing causes following the assessment of the control environment. This analysis should be conducted within a broader quorum, documented, monitored over an extended period, and assessed from various perspectives, including its impact on business synergies",Ref: 1.08. Objectives: 1b. Responses: MRA-04.,2,2,2,2
"Quality risks with the potential to significantly impact the achievement of quality objectives are not identified and evaluated regarding:
(a) anticipated frequency of occurrence;
(b) the pace at which the quality risk's effect would materialise and ",Risk Assessment Process,"Both the frequency and the pace and duration are taken into account in the risk analysis, which may have a significant impact. In these situations, there is very good rigour regarding all aspects relevant from a risk perspective, each of which is individually assessed, cross-referenced, and then cor","Ref: 1.09. Objectives: 1b, 1c. Responses: MRA-04.",1,1,1,1
"Responses are not aligned with the results of risk assessment.
For instance, responses are not formulated for quality risks that significantly impact the achievement of quality objectives, or the formulated responses do not derive from and address th",Risk Assessment Process,"We believe that the responses are aligned with the outcome of the risk assessment and that there is a direct and clear correlation regarding the risk assessment, the questions and requests made in this regard, and the responses received and actions implemented. This consistency is monitored at the p",Ref: 1.1. Objectives: 1c. Responses: MRA-04;MRA-05.,1,1,1,1
