title,component,description,root_cause,inherent_likelihood,inherent_impact,residual_likelihood,residual_impact
"The responsibilities of engagement partners and team members are not properly defined or understood","Engagement Performance","Training and clarification procedures implemented for engagement partner and team member responsibilities.","Ref: 5.01. Objectives: 5a, 5b. Responses: MEP-01, MEP-02, MEP-08",2,1,1,1
"Engagement partners and other team members are not adequately engaged","Engagement Performance","Possibility of inadequate engagement. Company has implemented robust procedures.","Ref: 5.02. Objectives: 5a, 5b. Responses: MEP-01, MEP-03 to MEP-11",2,2,2,1
"Inadequate direction, supervision, and review of engagement team work","Engagement Performance","Can lead to omissions or errors in the work performed.","Ref: 5.03. Objectives: 5b. Responses: MEP-01, MEP-03, MEP-04, MEP-05",1,1,1,1
"The company methodology is not properly followed","Engagement Performance","Robust methodology developed with adequate training provided.","Ref: 5.07. Objectives: 5b. Responses: MEP-03, MEP-05, MEP-08",2,1,1,1
"Candidates employed are not adequately qualified for quality engagements","Resources","Importance of hiring individuals with suitable qualifications acknowledged.","Ref: 6.01. Objectives: 6a. Responses: MR-01, MR-02, MR-03, MR-05",1,1,1,1
"Specific hiring needs are not identified in a timely manner","Resources","Workforce planning implemented to avoid delays.","Ref: 6.02. Objectives: 6a. Responses: MR-04",1,1,1,1
"The company loses intellectual capital due to inefficient succession planning","Resources","Risk of knowledge loss due to staff turnover without succession plan.","Ref: 6.05. Objectives: 6a. Responses: MR-16",2,2,2,1
"Individuals do not have sufficient hours to fulfill responsibilities","Resources","Risk of overwork leading to quality issues.","Ref: 6.06. Objectives: 6a, 6f. Responses: MR-11",2,2,2,1
"Manual and computer systems supporting information are inadequate","Information & Communication","Continual investment in modernisation of information systems.","Ref: 7.01. Objectives: 7a. Responses: MIC-01",1,1,1,1
"QMS not sufficiently adapted for quality management needs","Information & Communication","Concrete steps taken to enhance quality management system.","Ref: 7.02. Objectives: 7a. Responses: MIC-01",2,2,2,1
"Information relevant to QMS not communicated appropriately","Information & Communication","Efficient communication processes implemented.","Ref: 7.06. Objectives: 7c. Responses: MIC-04",2,2,2,1
"The company fails to foster accountability culture for information sharing","Information & Communication","Organisational culture promoting information sharing cultivated.","Ref: 7.07. Objectives: 7b. Responses: MIC-07, MIC-08",1,1,1,1
"Monitoring and remediation process not conducted in a timely manner","Monitoring & Remediation","Proactive measures implemented for timely monitoring.","Ref: 8.02. Objectives: 8a. Responses: MMR-10, MMR-19",2,2,2,1
"Selection of engagements for review may be inadequate","Monitoring & Remediation","Well-defined criteria for selection of review engagements.","Ref: 8.03. Objectives: 8c, 8d. Responses: MMR-06 to MMR-11",1,1,1,1
"Deficiencies may not be detected in other engagements of similar nature","Monitoring & Remediation","Rigorous cross-engagement review processes implemented.","Ref: 8.07. Objectives: 8b. Responses: MMR-18",2,2,2,1
